Card Name,Temple,Tier,Cost,Power,Health,Sigils,Token,Traits,Tribes,Flavor Text,Credit
Wildfrost Drake,Magick,Uncommon,1 shattered sapphire,2,4,"Familiar, Gem Dependent, Airborne",,,Reptile,"Adept, but troublesome to keep contained.",Muritgen
Faterender,Magick,Rare,1 sapphire + 1 prism,1,1,"Snag, Purist, Lethal Arcane",,,Wizard,,Murigen
All-Seeing Oracle,Magick,Rare,1 sapphire + 2 prism,1,4,Prophecy,,,Sage,Fate has been subdued to their will.,Herilind
Hourglass Sycophant,Magick,Rare,1 shattered sapphire,1,2,"Reaction Replica, Double Death, Arcane Echo",,,Wizard,An unmatched master in time.,Murigen
Brogg Polliwog,Magick,Rare,1 sapphire + 1 prism,1,3,"Mighty Leap, Frog Friend",,,Amphibian Sage,A wondrous friend to all frog kind.,Pixel Profligate
Blue Archmagus,Magick,Rare,1 shattered sapphire,2,2,"Mental Fortitude, Gem Dependent",,,Skeleton Mage,"Aeons, spent learning the mystifying...",Desaft
Lonely Wizard,Magick,Talking,1 sapphire,1,2,"Clinger, Stimulate",,,Wizard,"""YES! PLAY ME! STIMULATE ME!""",Pixel Profligate
Thief Mage,Magick,Talking,1 sapphire,0,3,"Looter, Side Hustle",,,Outlaw Mage,"""So... a little help?""",Murigen
Bixhound,Magick,Common,1 emerald + 1 ruby,2,3,"Guardian, Familiar",,,Canine Hound,A very loyal magickal companion.,Pixel Profligate
Chimera Warden,Magick,Common,1 emerald + 1 ruby,1,2,"Bloodlust, Animated Arcane",,,Knight,"A hybrid, loyal and fierce to a fault.","Yoyo, Bluemem"
Skyborne Soldier,Magick,Common,1 ruby + 1 sapphire,1,2,"Airborne, Sprinter, Enhanced Arcane",,,Knight,The utmost dedication to duty.,Pixel Profligate
Maniacal Martialist,Magick,Common,1 ruby + 1 sapphire,1,2,"Evasion, Bloodlust",,,Outlaw Sage,The frenzy of a newfound might.,"Desaft, Murigen"
Mysterious Merchant,Magick,Common,1 emerald + 1 sapphire,0,4,"Trinket Bearer, Enhanced Arcane",,,,Browse his wares for oddities.,Murigen
Baleful Polymorph,Magick,Common,1 emerald + 1 ruby,0,1,Polymorph,,,Corrupted Mage,All succumb to transformation's chaos.,
Book Burner,Magick,Rare,1 emerald + 1 sapphire,0,4,Firey Rummage,,,,Revealed secrets are theirs to keep.,Pixel Profligate
Goranj's Mox,Magick,Rare,1 shattered prism,0,2,"Green Gem, Orange Gem, Bloodless",,,Mox,Created by Goranj to strengthen them.,Desaft
Orlu's Mox,Magick,Rare,1 shattered prism,0,2,"Orange Gem, Blue Gem, Bloodless",,,Mox,Created by Orlu to focus her will.,Desaft
Bleene's Mox,Magick,Rare,1 shattered prism,0,2,"Blue Gem, Green Gem, Bloodless",,,Mox,Created by Bleene to harness his insight.,Desaft
Master Goranj,Magick,Rare,1 emerald + 1 ruby,3,6,Gem Dependent,,,Wizard,"Admittedly, more brute than wizard.",Pixel Profligate
Master Orlu,Magick,Rare,1 ruby + 1 sapphire,1,3,"Airborne, Looter, Soul Strike",,,Knight,"Fight or flight? Why, both are ideal.",Pixel Profligate
Master Bleene,Magick,Rare,1 sapphire + 1 emerald,0,4,True Scholar,,,Sage,"Creation's master, a life for a life.",Pixel Profligate
Magnus Mox,Magick,Rare,1 shattered prism,0,7,"Magnificent Gem, Made of Stone, Death Sentence",,,Mox,A conduit for truly grand magicks.,Desaft
Umbral Wealth Cabal,Magick,Rare,1 sapphire + 1 ruby + 1 emerald,3,3,"Gem Detonator, Gem Greed, Energy Gun",,,Wizard Outlaw,They love casting spells.,Murigen
Dark Mage,Magick,Talking,1 sapphire + 1 prism,1,1,Arcane Echo,,,Mage,"""Ierth, fira and aer, all thal I'll need.""",Murigen
Fluttering Friend,Magick,Talking,1 sapphire + 1 ruby,1,2,"Airborne, Guardian, To a Flame",,,Insect Wizard,"""Hah! These new friends are wonderful!""",Murigen
Perilous Pyromancer,Magick,Talking,1 emerald + 1 ruby,1,3,"Gem Animator, Fireball",,,Mage,"""Let what you hold dear be scorched.""",PaperPyro
Prideful Princess,Magick,Talking,1 ruby + 1 sapphire,1,1,Prosperity,,,Noble Sage,"""Come, my dear! Be yourself here!""",Herilind
Altar of Malachite,Magick,Common,1 blood,0,3,Green Gem,,,Mox Altar,Reinforced with the might of the body.,Pixel Profligate
Altar of Citrine,Magick,Common,1 blood,0,3,Orange Gem,,,Mox Altar,Made with the dedication of the soul.,Pixel Profligate
Altar of Azurite,Magick,Common,1 blood,0,3,Blue Gem,,,Mox Altar,Perfected with the ingenuity of the mind.,Pixel Profligate
Garden of Soul,Magick,Common,1 shattered sapphire,0,3,"Orange Gem, Unholy Will",,,Mox Altar,What is drive without rest?,Murigen
Library of Mind,Magick,Common,1 shattered emerald,0,3,"Blue Gem, Infinite Knowledge",,,Mox Altar,What is wisdom without discovery?,Murigen
Monolith of Form,Magick,Common,1 shattered ruby,0,3,"Green Gem, Eternal Life",,,Mox Altar,What is perfection without refinement?,Murigen
Mad Cultist,Magick,Common,2 blood,2,1,Mental Gemnastics,,,Cultist,Led astray by falsities and sacrifices.,Pixel Profligate
Mad Prophet,Magick,Common,2 blood,1,3,"Snag, Altar Prayer",,,Cultist,Power comes from the name you chose.,Pixel Profligate
Mad Conspirator,Magick,Common,2 blood,X,3,"Hoarder, Gem Powered",,,Cultist,"Twelve sets in the morning, two at eve.",Desaft
Mad Ritualist,Magick,Common,2 blood,X,4,"Life Donor, Animated Hemanation, Gem Powered",,,Cultist,,Pixel Profligate
Null Mage,Magick,Common,6 energy,1,3,Prism Conduit,,,Android Conduit Mage,Even mages see the value of energy.,Pixel Profligate
Forgotten Soul,Undead,Side Deck,1 energy,1,1,"Brittle, Bloodless",,,Spectre,Some souls never find salvation.,Murigen
Empty Vessel,Tech,Side Deck,1 energy,0,2,,,,,No functionality has been inserted.,Pixel Profligate
